,ISO3_Code,Country_Name,M49_Code,Year,Life_Expectancy,Mean_Years_Of_Schooling,CPI_Food,Net_FDI,Prevalence_of_undernourishment,GNI,Population,Govt_Expenditure
95,BRN,Brunei Darussalam,96.0,2016,74.7332,9.06,99.021323,3457.305457080882,6.8,12235.341988,425.994,
96,BRN,Brunei Darussalam,96.0,2017,74.722,9.1,101.225778,204.8675045481483,6.2,12848.586343,430.276,
97,BRN,Brunei Darussalam,96.0,2018,74.7118,9.14,101.336234,3746.793297962964,5.8,13650.786987,434.274,
98,BRN,Brunei Darussalam,96.0,2019,74.7483,9.18,100.926443,1648.6662224962963,5.8,13830.335687,438.048,
99,BRN,Brunei Darussalam,96.0,2020,74.7949,9.18,105.672775,1284.4077504545455,5.9,12521.423752,441.725,
100,BGR,Bulgaria,100.0,2016,74.8336,11.23243999,100.490613,635.183163,3.5,53101.124125,7245.975,18026.009
101,BGR,Bulgaria,100.0,2017,74.7992,11.24269962,104.336471,1483.287541,3.0,58986.146791,7182.428,19673.09866
102,BGR,Bulgaria,100.0,2018,74.8983,11.29952653,107.007477,894.007137,2.8,64212.394981,7117.431,23607.34662
103,BGR,Bulgaria,100.0,2019,75.0624,11.35635344,114.476757,1296.870197,3.0,66967.385628,7052.532,25675.51241
104,BGR,Bulgaria,100.0,2020,73.6453,11.41318035,116.637022,2222.199978,3.0,68558.276364,6979.175,27920.27171
105,BFA,Burkina Faso,854.0,2016,59.3262,1.602925003,98.316135,340.114274,12.3,12261.728231,19275.498,
106,BFA,Burkina Faso,854.0,2017,59.5361,1.761222512,104.243617,-7.696131,12.4,13577.33464,19835.858,
107,BFA,Burkina Faso,854.0,2018,60.0466,1.91952002,103.823713,200.701559,12.7,15511.736315,20392.723,
108,BFA,Burkina Faso,854.0,2019,60.0391,2.114962259,98.208717,146.537696,14.1,15444.986357,20951.639,
109,BFA,Burkina Faso,854.0,2020,59.7306,2.114962259,103.618644,126.448072,18.0,16776.198057,21522.626,
110,CPV,Cabo Verde,132.0,2016,75.7423,5.973347954,100.424339,135.14965,17.0,1602.780652,558.394,593.148673
111,CPV,Cabo Verde,132.0,2017,76.5928,6.076351994,99.32918,119.679897,16.2,1709.004781,564.954,
112,CPV,Cabo Verde,132.0,2018,75.7331,6.181132228,100.100364,120.475466,15.4,1920.165456,571.202,
113,CPV,Cabo Verde,132.0,2019,76.0042,6.287719287,104.367955,133.766588,14.5,1939.455394,577.03,
114,CPV,Cabo Verde,132.0,2020,74.8077,6.287719287,101.698239,117.943223,17.7,1667.25661,582.64,
115,KHM,Cambodia,116.0,2016,70.2244,4.722,108.19555,2396.842,8.5,18788.301206,15624.584,
116,KHM,Cambodia,116.0,2017,70.5153,4.844,110.232083,2670.873,7.7,20800.20961,15830.689,
117,KHM,Cambodia,116.0,2018,70.5609,4.966,112.32988,3083.623,6.6,22915.193839,16025.238,
118,KHM,Cambodia,116.0,2019,70.6923,5.088,116.106655,3560.089918,6.0,25533.635896,16207.746,
119,KHM,Cambodia,116.0,2020,70.416,5.088,121.605188,3497.84626,6.3,23831.222397,16396.86,
120,CMR,Cameroon,120.0,2016,60.2333,5.983691359,100.59845,702.678,5.9,32085.14654,23711.63,
121,CMR,Cameroon,120.0,2017,60.8103,6.039564753,101.965277,792.137,6.6,34347.939663,24393.181,
122,CMR,Cameroon,120.0,2018,61.1798,6.095438148,104.1522,651.895417,6.9,37954.153242,25076.747,
123,CMR,Cameroon,120.0,2019,61.5839,6.151311543,106.976975,899.655389,6.7,38259.799689,25782.341,
124,CMR,Cameroon,120.0,2020,60.8328,6.151311543,110.712969,403.717252,6.7,39293.9507,26491.087,
125,CAN,Canada,124.0,2016,82.0434,13.73192024,98.58939,-33450.74531,1.5,1509573.373338,36113.532,563122.0632
126,CAN,Canada,124.0,2017,82.0192,13.76600456,100.0767,-53421.57573,1.5,1628541.67382,36554.348,603654.3736
127,CAN,Canada,124.0,2018,82.0508,13.80017348,102.5556,-19177.07579,1.5,1692829.951897,37035.254,636151.942
128,CAN,Canada,124.0,2019,82.3628,13.83442722,105.8136,-31060.61006,1.5,1719169.540446,37522.584,652212.2825
129,CAN,Canada,124.0,2020,82.0471,13.83442722,106.3802,-24832.36439,1.5,1626424.824836,37888.705,
130,TCD,Chad,148.0,2016,52.0834,2.301458538,89.025426,3457.305457080882,28.5,10200.946974,14592.585,
131,TCD,Chad,148.0,2017,52.3076,2.388868544,90.912186,204.8675045481483,29.1,10257.982131,15085.884,
132,TCD,Chad,148.0,2018,52.8253,2.479598405,86.781599,3746.793297962964,30.3,11205.891047,15604.21,
133,TCD,Chad,148.0,2019,53.2594,2.57377421,86.673816,1648.6662224962963,31.7,11098.376651,16126.866,
134,TCD,Chad,148.0,2020,52.7774,2.57377421,91.136924,1284.4077504545455,32.7,10994.140148,16644.701,
