ISO3_Code,Country_Name,M49_Code,Year,Life_Expectancy,Mean_Years_Of_Schooling,CPI_Food,Net_FDI,Unemployment,Infant_Mortality_Rate,Access_To_Electricity,Prevalence_of_undernourishment
ISR,Israel,376.0,2017,82.7195,13.15115217,96.981,9268.49,4.21999979,3.8,100.0,1.5
ITA,Italy,380.0,2017,82.7282,10.47961998,102.6,-483.819659,11.21000004,3.3,100.0,1.5
JAM,Jamaica,388.0,2017,71.9114,8.970338495,112.771563,841.24,11.63000011,14.6,97.60958099,9.0
JOR,Jordan,400.0,2017,75.5018,10.25772977,96.055879,2023.098592,18.13999939,16.4,100.0,8.8
JPN,Japan,392.0,2017,84.1976,13.33075812,105.1515,-155232.2646,2.799999952,2.6,100.0,1.5
KAZ,Kazakhstan,398.0,2017,71.3958,12.07710298,125.488061,3756.1,4.900000095,10.5,100.0,1.5
KEN,Kenya,404.0,2017,62.4808,6.476,121.591737,1389.994867,3.513000011,45.9,55.97640991,25.1
KGZ,Kyrgyzstan,417.0,2017,70.5877,11.36215797,96.093915,-78.0,6.889999866,20.1,100.0,5.8
KHM,Cambodia,116.0,2017,70.5153,4.844,110.232083,2670.873,0.140000001,29.0,89.06999969,7.7
KIR,Kiribati,296.0,2017,66.5965,7.865527643,103.081506,0.661,7.805133339626667,54.5,86.17644501,3.4
KOR,Republic of Korea,410.0,2017,83.2855,12.31303351,104.4411,-16156.5,3.650000095,3.3,100.0,1.5
KWT,Kuwait,414.0,2017,79.7806,7.192820072,102.259774,-8665.324869,2.197000027,8.7,100.0,1.5
LAO,Lao People's Democratic Republic,418.0,2017,67.4344,5.202,103.834914,1676.574948,0.805000007,49.4,93.59999847,5.6
LBN,Lebanon,422.0,2017,79.6543,8.609094987,104.59922,1204.975686,10.27400017,7.7,99.87982941,6.8
LBR,Liberia,430.0,2017,60.5535,4.806,119.939983,193.66575,3.049000025,84.3,24.20000076,36.6
LKA,Sri Lanka,144.0,2017,75.4035,10.57874966,121.476764,1300.932,4.050000191,7.8,97.5,4.3
LSO,Lesotho,426.0,2017,53.0636,5.83282906,120.306252,204.8675045481483,23.20000076,91.0,33.70000076,29.5
LTU,Lithuania,440.0,2017,75.4399,13.18838978,106.6792,940.466104,7.070000172,4.4,100.0,1.5
LUX,Luxembourg,442.0,2017,81.734,12.65323261,104.8,-41579.96408,5.519999981,2.8,100.0,1.5
