,Area Code (M49),Area,Unit,Total FDI inflows 2016,Total FDI inflows 2017,Total FDI inflows 2018,Total FDI inflows 2019,Total FDI inflows 2020,Total FDI outflows 2016,Total FDI outflows 2017,Total FDI outflows 2018,Total FDI outflows 2019,Total FDI outflows 2020,Net FDI 2016,Net FDI 2017,Net FDI 2018,Net FDI 2019,Net FDI 2020
57,212,Dominica,millions,41.154815,-2.112222,-37.178148,32.551852,25.210223,0.047037,0.040741,0.038148,0.041975,0.080544,41.107777999999996,-2.152963,-37.216296,32.509876999999996,25.129679
58,214,Dominican Republic,millions,2406.7,3570.7,2535.3,3021.0,2554.3,,,,,,,,,,
59,218,Ecuador,millions,755.954868,624.469412,1388.175763,961.518496,1016.949293,,,,,,,,,,
60,818,Egypt,millions,8106.8,7408.7,8141.3,9010.0,5851.8,206.6,199.0,323.5,405.0,326.5,7900.2,7209.7,7817.8,8605.0,5525.3
61,222,El Salvador,millions,347.424796,889.072922,826.009559,636.168174,200.463777,-0.428126,0.2284,-0.037397,0.404826,-0.719973,347.85292200000004,888.844522,826.046956,635.7633480000001,201.18375
62,226,Equatorial Guinea,millions,53.998813,304.827249,396.07778,452.287112,529.894746,,,,,,,,,,
63,232,Eritrea,millions,52.305,55.468,61.015,67.116,73.828,,,,,,,,,,
64,233,Estonia,millions,1059.409595,1942.39331,1497.755249,3091.332008,3155.933563,486.924259,880.995746,58.044306,1987.286879,218.462726,572.4853360000001,1061.3975639999999,1439.710943,1104.0451289999999,2937.470837
65,748,Eswatini,millions,21.384868,-56.010183,36.474449,130.221496,40.919495,-7.132213,65.483928,-10.51256,22.207889,-14.322958,28.517081,-121.494111,46.987009,108.01360700000001,55.242453
66,231,Ethiopia,millions,4142.937496,4017.1,3310.3,2548.8,2395.375577,,,,,,,,,,
67,242,Fiji,millions,389.841027,386.185942,470.973182,321.006409,240.547214,-16.422399,-1.644991,-3.640928,-36.011966,13.648069,406.263426,387.830933,474.61411,357.018375,226.899145
68,246,Finland,millions,8582.210932,2864.234475,-2171.245625,13611.694482,2574.691331,24276.637666,-573.773455,11454.73634,4865.23762,6604.19157,-15694.426733999999,3438.00793,-13625.981964999999,8746.456862000001,-4029.500239
69,250,France,millions,23077.217684,24832.525615,38185.013203,33964.866402,17932.487042,64847.892453,35984.681601,105635.283169,38663.302272,44203.00946,-41770.674769000005,-11152.155985999998,-67450.26996599999,-4698.435870000001,-26270.522418
70,258,French Polynesia,millions,61.575789,79.265984,63.418521,25.381059,55.666725,24.245498,15.441375,-28.264125,4.343634,-2.425404,37.330291,63.824609,91.682646,21.037425,58.092129
71,266,Gabon,millions,1243.66016,1314.02933,1379.070816,1553.136875,1716.511506,45.3,-83.709,-62.928333,-33.779111,0.0,1198.36016,1397.7383300000001,1441.999149,1586.915986,1716.511506
72,270,Gambia,millions,-27.7,18.444836,51.94,43.93,45.72,0.0,0.0,0.0,0.0,0.0,-27.7,18.444836,51.94,43.93,45.72
73,268,Georgia,millions,1652.577348,1978.281581,1306.290006,1310.773789,616.865566,0.0,0.0,0.0,0.0,0.0,1652.577348,1978.281581,1306.290006,1310.773789,616.865566
74,276,Germany,millions,15633.147373,48641.41842,62072.967694,54062.912247,35651.049793,0.0,0.0,0.0,0.0,0.0,15633.147373,48641.41842,62072.967694,54062.912247,35651.049793
75,288,Ghana,millions,3485.3,3255.0,2989.0,3879.0,1877.0,0.0,0.0,0.0,0.0,0.0,3485.3,3255.0,2989.0,3879.0,1877.0
76,300,Greece,millions,2765.153451,3484.859714,3973.265169,5019.347114,3572.02383,0.0,0.0,0.0,0.0,0.0,2765.153451,3484.859714,3973.265169,5019.347114,3572.02383
77,308,Grenada,millions,94.898148,111.670741,126.990741,131.044444,146.104042,0.0,0.0,0.0,0.0,0.0,94.898148,111.670741,126.990741,131.044444,146.104042
78,320,Guatemala,millions,1174.37206,1130.01766,980.65193,974.7093,915.17363,0.0,0.0,0.0,0.0,0.0,1174.37206,1130.01766,980.65193,974.7093,915.17363
79,324,Guinea,millions,1618.44726,577.59,352.76,44.4,324.916667,0.0,0.0,0.0,0.0,0.0,1618.44726,577.59,352.76,44.4,324.916667
80,624,Guinea-Bissau,millions,23.998591,15.691198,20.563818,71.65868,20.41038,0.0,0.0,0.0,0.0,0.0,23.998591,15.691198,20.563818,71.65868,20.41038
81,328,Guyana,millions,57.999078,212.151382,1231.06,1695.293219,1833.891321,0.0,0.0,0.0,0.0,0.0,57.999078,212.151382,1231.06,1695.293219,1833.891321
82,332,Haiti,millions,104.9,374.86,105.0,75.0,30.0,,,,,,,,,,
83,340,Honduras,millions,1139.4,1175.8,961.3,498.1,418.6,0.0,0.0,0.0,0.0,0.0,1139.4,1175.8,961.3,498.1,418.6
84,348,Hungary,millions,-5438.548392,3514.894612,6410.258176,3884.07177,4168.697792,0.0,0.0,0.0,0.0,0.0,-5438.548392,3514.894612,6410.258176,3884.07177,4168.697792
85,352,Iceland,millions,-427.243918,-41.398519,-381.467524,-301.50047,-810.963016,0.0,0.0,0.0,0.0,0.0,-427.243918,-41.398519,-381.467524,-301.50047,-810.963016
86,356,India,millions,44480.571754,39903.840402,42156.193365,50558.331002,64061.907725,0.0,0.0,0.0,0.0,0.0,44480.571754,39903.840402,42156.193365,50558.331002,64061.907725
87,360,Indonesia,millions,3921.23,20579.23,20563.47,23883.25,18581.08,0.0,0.0,0.0,0.0,0.0,3921.23,20579.23,20563.47,23883.25,18581.08
88,364,Iran (Islamic Republic of),millions,3372.0,5019.0,2373.0,1508.0,1342.0,0.0,0.0,0.0,0.0,0.0,3372.0,5019.0,2373.0,1508.0,1342.0
89,368,Iraq,millions,-6255.9,-5032.4,-4885.1,-3075.6,-2895.5,0.0,0.0,0.0,0.0,0.0,-6255.9,-5032.4,-4885.1,-3075.6,-2895.5
90,372,Ireland,millions,39413.561798,52834.920527,-16096.42265,81103.712626,33424.099892,0.0,0.0,0.0,0.0,0.0,39413.561798,52834.920527,-16096.42265,81103.712626,33424.099892
91,376,Israel,millions,11988.255,16892.825,21514.605,19047.249,24758.4,0.0,0.0,0.0,0.0,0.0,11988.255,16892.825,21514.605,19047.249,24758.4
92,380,Italy,millions,28468.517412,24047.082613,37682.197805,18145.567551,-388.346853,0.0,0.0,0.0,0.0,0.0,28468.517412,24047.082613,37682.197805,18145.567551,-388.346853
93,388,Jamaica,millions,915.776886,888.04,774.7,665.416,366.00921,0.0,0.0,0.0,0.0,0.0,915.776886,888.04,774.7,665.416,366.00921
94,392,Japan,millions,19358.836009,9355.587239,9255.891229,14552.38385,10253.735853,0.0,0.0,0.0,0.0,0.0,19358.836009,9355.587239,9255.891229,14552.38385,10253.735853
95,400,Jordan,millions,1552.957746,2029.71831,954.929577,729.71831,726.056338,0.0,0.0,0.0,0.0,0.0,1552.957746,2029.71831,954.929577,729.71831,726.056338
96,398,Kazakhstan,millions,8511.489337,4669.3,3627.876155,2873.724811,3877.36728,0.0,0.0,0.0,0.0,0.0,8511.489337,4669.3,3627.876155,2873.724811,3877.36728
97,404,Kenya,millions,1138.612882,1403.567589,1139.438224,1098.375947,716.756224,0.0,0.0,0.0,0.0,0.0,1138.612882,1403.567589,1139.438224,1098.375947,716.756224
98,296,Kiribati,millions,1.807,0.785,-1.144365,-0.55828,-0.305882,0.0,0.0,0.0,0.0,0.0,1.807,0.785,-1.144365,-0.55828,-0.305882
99,414,Kuwait,millions,418.746412,348.122169,204.016996,104.413282,-318.969904,0.0,0.0,0.0,0.0,0.0,418.746412,348.122169,204.016996,104.413282,-318.969904
100,417,Kyrgyzstan,millions,616.0,-107.0,144.0,404.0,-330.5,0.0,0.0,0.0,0.0,0.0,616.0,-107.0,144.0,404.0,-330.5
101,418,Lao People's Democratic Republic,millions,935.296173,1686.275786,1319.609797,557.17654,967.706086,0.0,0.0,0.0,0.0,0.0,935.296173,1686.275786,1319.609797,557.17654,967.706086
102,428,Latvia,millions,254.588121,708.306504,967.202506,874.309844,872.638223,0.0,0.0,0.0,0.0,0.0,254.588121,708.306504,967.202506,874.309844,872.638223
103,422,Lebanon,millions,2568.485071,2522.409653,2658.003845,2054.579557,3067.045569,0.0,0.0,0.0,0.0,0.0,2568.485071,2522.409653,2658.003845,2054.579557,3067.045569
104,426,Lesotho,millions,159.2,123.1,128.7,117.6,102.008164,,,,,,,,,,
105,430,Liberia,millions,453.18,247.84,129.13,86.68,86.96,0.0,0.0,0.0,0.0,0.0,453.18,247.84,129.13,86.68,86.96
106,440,Lithuania,millions,302.605654,1020.786028,976.638339,1169.470578,478.648918,0.0,0.0,0.0,0.0,0.0,302.605654,1020.786028,976.638339,1169.470578,478.648918
107,442,Luxembourg,millions,31899.891523,-6815.331955,-16756.576741,14791.620955,62144.634074,0.0,0.0,0.0,0.0,0.0,31899.891523,-6815.331955,-16756.576741,14791.620955,62144.634074
108,450,Madagascar,millions,450.626271,357.862206,352.551623,474.311425,359.141033,0.0,0.0,0.0,0.0,0.0,450.626271,357.862206,352.551623,474.311425,359.141033
109,454,Malawi,millions,116.099192,90.199691,959.395634,822.488231,98.018286,0.0,0.0,0.0,0.0,0.0,116.099192,90.199691,959.395634,822.488231,98.018286
110,458,Malaysia,millions,11335.968951,9398.805704,7618.337947,7812.777164,3482.70222,0.0,0.0,0.0,0.0,0.0,11335.968951,9398.805704,7618.337947,7812.777164,3482.70222
111,462,Maldives,millions,456.639057,457.808314,575.658028,956.153656,348.344832,,,,,,,,,,
112,466,Mali,millions,356.476589,563.20847,467.295391,720.638835,308.101915,0.0,0.0,0.0,0.0,0.0,356.476589,563.20847,467.295391,720.638835,308.101915
113,470,Malta,millions,4248.432623,3407.289796,4023.616747,3783.60091,3917.095266,0.0,0.0,0.0,0.0,0.0,4248.432623,3407.289796,4023.616747,3783.60091,3917.095266
114,584,Marshall Islands,millions,-3.055847,5.835497,9.752051,4.177234,6.588261,,,,,,,,,,
115,478,Mauritania,millions,271.19784,587.243766,772.890477,886.916359,977.700486,0.0,0.0,0.0,0.0,0.0,271.19784,587.243766,772.890477,886.916359,977.700486
116,480,Mauritius,millions,378.764432,479.99589,460.511368,471.422103,245.941042,0.0,0.0,0.0,0.0,0.0,378.764432,479.99589,460.511368,471.422103,245.941042
117,484,Mexico,millions,31068.617,34200.409,33729.6144,34096.9279,29079.433,0.0,0.0,0.0,0.0,0.0,31068.617,34200.409,33729.6144,34096.9279,29079.433
118,496,Mongolia,millions,-4156.405,1494.35,2173.741,2443.343,1719.115941,0.0,0.0,0.0,0.0,0.0,-4156.405,1494.35,2173.741,2443.343,1719.115941
119,499,Montenegro,millions,226.409643,558.565764,489.814821,417.069688,528.873208,0.0,0.0,0.0,0.0,0.0,226.409643,558.565764,489.814821,417.069688,528.873208
120,500,Montserrat,millions,1.684444,1.607407,1.707037,5.507407,0.257121,,,,,,,,,,
121,504,Morocco,millions,2157.149441,2686.029715,3558.878862,1719.961452,1763.111483,0.0,0.0,0.0,0.0,0.0,2157.149441,2686.029715,3558.878862,1719.961452,1763.111483
122,508,Mozambique,millions,3093.4,2293.1,2703.031294,2211.654426,2337.297117,0.0,0.0,0.0,0.0,0.0,3093.4,2293.1,2703.031294,2211.654426,2337.297117
123,104,Myanmar,millions,2989.0,4341.0,3554.048,2766.0,1834.212,,,,,,,,,,
124,516,Namibia,millions,355.590232,279.946036,208.556758,-178.925671,-74.6114,0.0,0.0,0.0,0.0,0.0,355.590232,279.946036,208.556758,-178.925671,-74.6114
125,524,Nepal,millions,106.133571,197.775964,67.055675,184.995134,126.492576,,,,,,,,,,
126,528,Netherlands,millions,59734.12145,16557.652986,87670.589013,48962.710752,-115300.251146,0.0,0.0,0.0,0.0,0.0,59734.12145,16557.652986,87670.589013,48962.710752,-115300.251146
127,540,New Caledonia,millions,414.176023,410.145856,249.817258,661.760629,442.822278,0.0,0.0,0.0,0.0,0.0,414.176023,410.145856,249.817258,661.760629,442.822278
128,554,New Zealand,millions,2844.354103,2428.574474,2397.49581,4278.349666,4216.443221,0.0,0.0,0.0,0.0,0.0,2844.354103,2428.574474,2397.49581,4278.349666,4216.443221
129,558,Nicaragua,millions,989.1,1035.4,837.6,503.0,182.3,0.0,0.0,0.0,0.0,0.0,989.1,1035.4,837.6,503.0,182.3
130,562,Niger,millions,301.332478,338.71071,466.042273,717.14764,366.793709,0.0,0.0,0.0,0.0,0.0,301.332478,338.71071,466.042273,717.14764,366.793709
131,566,Nigeria,millions,3453.258408,2412.974916,775.2474,2305.099812,2385.277666,0.0,0.0,0.0,0.0,0.0,3453.258408,2412.974916,775.2474,2305.099812,2385.277666
132,807,North Macedonia,millions,374.604282,205.262028,725.20283,446.402152,273.927194,0.0,0.0,0.0,0.0,0.0,374.604282,205.262028,725.20283,446.402152,273.927194
133,578,Norway,millions,-3899.880952,-5849.000262,225.760836,16287.386364,-2394.371268,0.0,0.0,0.0,0.0,0.0,-3899.880952,-5849.000262,225.760836,16287.386364,-2394.371268
134,512,Oman,millions,2265.279584,2918.075423,5940.182055,3420.026008,4092.761162,0.0,0.0,0.0,0.0,0.0,2265.279584,2918.075423,5940.182055,3420.026008,4092.761162
135,586,Pakistan,millions,2576.0,2496.0,1737.0,2234.0,2105.0,0.0,0.0,0.0,0.0,0.0,2576.0,2496.0,1737.0,2234.0,2105.0
136,585,Palau,millions,36.008019,27.484633,21.5,22.0,24.0,,,,,,,,,,
137,275,Palestine,millions,296.7,188.344526,251.628395,131.879984,52.0,0.0,0.0,0.0,0.0,0.0,296.7,188.344526,251.628395,131.879984,52.0
138,591,Panama,millions,4745.4,4176.645,5080.392578,4320.375729,588.653819,0.0,0.0,0.0,0.0,0.0,4745.4,4176.645,5080.392578,4320.375729,588.653819
139,598,Papua New Guinea,millions,-39.764921,-180.17671,-341.200432,-900.655579,-935.493565,0.0,0.0,0.0,0.0,0.0,-39.764921,-180.17671,-341.200432,-900.655579,-935.493565
140,600,Paraguay,millions,425.334759,576.181374,457.636953,522.336212,568.333465,,,,,,,,,,
141,604,Peru,millions,6739.051858,6860.492819,6967.475789,8055.416499,981.749851,0.0,0.0,0.0,0.0,0.0,6739.051858,6860.492819,6967.475789,8055.416499,981.749851
142,608,Philippines,millions,6915.149,8703.550653,6602.459617,8671.365874,6542.261712,0.0,0.0,0.0,0.0,0.0,6915.149,8703.550653,6602.459617,8671.365874,6542.261712
143,616,Poland,millions,15690.147561,9172.340071,15996.269918,10852.521569,10079.564238,0.0,0.0,0.0,0.0,0.0,15690.147561,9172.340071,15996.269918,10852.521569,10079.564238
144,620,Portugal,millions,5065.822944,7752.151776,7115.338198,12084.401691,6323.591369,0.0,0.0,0.0,0.0,0.0,5065.822944,7752.151776,7115.338198,12084.401691,6323.591369
145,634,Qatar,millions,773.901,985.989011,-2186.263736,-2812.637363,-2433.928846,0.0,0.0,0.0,0.0,0.0,773.901,985.989011,-2186.263736,-2812.637363,-2433.928846
146,410,Republic of Korea,millions,12104.3,17912.9,12182.6,9634.3,9223.6,0.0,0.0,0.0,0.0,0.0,12104.3,17912.9,12182.6,9634.3,9223.6
147,498,Republic of Moldova,millions,84.18,151.59,292.07,503.06,54.78,0.0,0.0,0.0,0.0,0.0,84.18,151.59,292.07,503.06,54.78
148,642,Romania,millions,5000.387417,5419.471086,6218.911348,5791.043306,2321.640286,0.0,0.0,0.0,0.0,0.0,5000.387417,5419.471086,6218.911348,5791.043306,2321.640286
149,643,Russian Federation,millions,37175.766913,25953.535828,13227.642062,32075.621933,9676.068797,0.0,0.0,0.0,0.0,0.0,37175.766913,25953.535828,13227.642062,32075.621933,9676.068797
150,646,Rwanda,millions,342.3,356.436501,381.911599,353.844486,134.754943,0.0,0.0,0.0,0.0,0.0,342.3,356.436501,381.911599,353.844486,134.754943
151,659,Saint Kitts and Nevis,millions,93.77,50.927407,84.843333,92.266667,47.090862,0.0,0.0,0.0,0.0,0.0,93.77,50.927407,84.843333,92.266667,47.090862
152,662,Saint Lucia,millions,129.32037,131.028889,135.135556,30.640741,14.922428,0.0,0.0,0.0,0.0,0.0,129.32037,131.028889,135.135556,30.640741,14.922428
153,670,Saint Vincent and the Grenadines,millions,153.077037,98.13963,100.46963,113.066667,72.892264,0.0,0.0,0.0,0.0,0.0,153.077037,98.13963,100.46963,113.066667,72.892264
154,882,Samoa,millions,2.549967,9.078017,16.722124,-2.151612,-0.774462,0.0,0.0,0.0,0.0,0.0,2.549967,9.078017,16.722124,-2.151612,-0.774462
155,678,Sao Tome and Principe,millions,30.607771,29.184452,23.203612,24.191799,47.112185,0.0,0.0,0.0,0.0,0.0,30.607771,29.184452,23.203612,24.191799,47.112185
