,Country,M49_Code,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020
46,Cook Islands,184,10.463203,1.918641,11.558709,7.980184,7.152511,0.313951,0.319736,0.311363,0.315017,0.315372,10.149252,1.598905,11.247346,7.665167,6.837139
47,Costa Rica,188,2203.948381,2778.314023,2336.535228,2748.310173,1710.765399,76.913356,126.220639,53.38959,117.118402,86.771375,2127.035025,2652.093384,2283.145638,2631.191771,1623.9940239999999
48,Côte d'Ivoire,384,577.871519,975.014998,620.330646,935.684597,508.531022,28.651433,676.031029,144.65216,119.514378,158.057404,549.220086,298.983969,475.678486,816.1702190000001,350.473618
49,Croatia,191,273.228399,539.709222,1171.461739,1335.84245,1304.029898,-1938.495938,-724.669852,200.875797,167.434253,235.46155,2211.724337,1264.379074,970.585942,1168.4081970000002,1068.568348
50,Curaçao,531,133.046405,172.678986,126.888268,55.915084,164.162218,38.821373,-145.267009,30.106145,11.246927,3.9304,94.225032,317.94599500000004,96.782123,44.668157,160.231818
51,Cyprus,196,10928.262602,9422.629933,-1735.267119,26183.25767,-3646.803063,8689.646012,8678.391837,-7326.390104,20236.877108,-5954.124485,2238.6165900000015,744.238096000001,5591.122985,5946.3805619999985,2307.3214220000004
52,Czechia,203,9814.76887,9521.682018,11010.36396,10108.406972,6292.550409,2181.805996,7560.010489,8662.556097,4128.152732,3142.397047,7632.962874,1961.6715289999993,2347.807863,5980.254240000001,3150.1533620000005
53,Democratic People's Republic of Korea,408,89.317272,-12.832422,1.953529,29.89501,6.338706,,,,,,,,,,
54,Democratic Republic of the Congo,180,1204.708617,1340.204101,1616.794884,1488.05357,1646.921056,272.333948,292.224618,209.231296,133.924629,148.836248,932.374669,1047.979483,1407.563588,1354.128941,1498.0848079999998
55,Denmark,208,235.303904,3748.81302,1198.488777,3587.103998,1151.303119,10110.491821,9518.2564,-369.460137,11403.943985,4395.342695,-9875.187917,-5769.443380000001,1567.948914,-7816.839986999999,-3244.039576
