ISO3_Code,Country_Name,M49_Code,Corruption_Perception_Index_2020,Corruption_Perception_Index_2019,Corruption_Perception_Index_2018,Corruption_Perception_Index_2017,Corruption_Perception_Index_2016,Corruption_Perception_Index_Avg
MLI,Mali,466.0,30.0,29.0,32.0,31.0,32.0,30.8
RUS,Russian Federation,643.0,30.0,28.0,28.0,29.0,29.0,28.8
LAO,Lao People's Democratic Republic,418.0,29.0,29.0,29.0,29.0,30.0,29.2
MRT,Mauritania,478.0,29.0,28.0,27.0,28.0,27.0,27.8
TGO,Togo,768.0,29.0,29.0,30.0,32.0,32.0,30.4
DOM,Dominican Republic,214.0,28.0,28.0,30.0,29.0,31.0,29.2
GIN,Guinea,324.0,28.0,29.0,28.0,27.0,27.0,27.8
LBR,Liberia,430.0,28.0,28.0,32.0,31.0,37.0,31.2
MMR,Myanmar,104.0,28.0,29.0,29.0,30.0,28.0,28.8
PRY,Paraguay,600.0,28.0,28.0,29.0,29.0,30.0,28.8
AGO,Angola,24.0,27.0,26.0,19.0,19.0,18.0,21.8
DJI,Djibouti,262.0,27.0,30.0,31.0,31.0,30.0,29.8
PNG,Papua New Guinea,598.0,27.0,28.0,28.0,29.0,28.0,28.0
UGA,Uganda,800.0,27.0,28.0,26.0,26.0,25.0,26.4
BGD,Bangladesh,50.0,26.0,26.0,26.0,28.0,26.0,26.4
CAF,Central African Republic,140.0,26.0,25.0,26.0,23.0,20.0,24.0
UZB,Uzbekistan,860.0,26.0,25.0,23.0,22.0,21.0,23.4
CMR,Cameroon,120.0,25.0,25.0,25.0,25.0,26.0,25.2
GTM,Guatemala,320.0,25.0,26.0,27.0,28.0,28.0,26.8
IRN,Iran (Islamic Republic of),364.0,25.0,26.0,28.0,30.0,29.0,27.6
LBN,Lebanon,422.0,25.0,28.0,28.0,28.0,28.0,27.4
MDG,Madagascar,450.0,25.0,24.0,25.0,24.0,26.0,24.8
MOZ,Mozambique,508.0,25.0,26.0,23.0,25.0,27.0,25.2
NGA,Nigeria,566.0,25.0,26.0,27.0,27.0,28.0,26.6
TJK,Tajikistan,762.0,25.0,25.0,25.0,21.0,25.0,24.2
HND,Honduras,340.0,24.0,26.0,29.0,29.0,30.0,27.6
ZWE,Zimbabwe,716.0,24.0,24.0,22.0,22.0,22.0,22.8
NIC,Nicaragua,558.0,22.0,22.0,25.0,26.0,26.0,24.2
KHM,Cambodia,116.0,21.0,20.0,20.0,21.0,21.0,20.6
TCD,Chad,148.0,21.0,20.0,19.0,20.0,20.0,20.0
COM,Comoros,174.0,21.0,25.0,27.0,27.0,24.0,24.8
ERI,Eritrea,232.0,21.0,23.0,24.0,20.0,18.0,21.2
IRQ,Iraq,368.0,21.0,20.0,18.0,18.0,17.0,18.8
AFG,Afghanistan,4.0,19.0,16.0,16.0,15.0,15.0,16.2
BDI,Burundi,108.0,19.0,19.0,17.0,22.0,20.0,19.4
COG,Congo,178.0,19.0,19.0,19.0,21.0,20.0,19.6
GNB,Guinea-Bissau,624.0,19.0,18.0,16.0,17.0,16.0,17.2
TKM,Turkmenistan,795.0,19.0,19.0,20.0,19.0,22.0,19.8
COD,Democratic Republic of the Congo,180.0,18.0,18.0,20.0,21.0,21.0,19.6
HTI,Haiti,332.0,18.0,18.0,20.0,22.0,20.0,19.6
PRK,Democratic People's Republic of Korea,408.0,18.0,17.0,14.0,17.0,12.0,15.6
LBY,Libya,434.0,17.0,18.0,17.0,17.0,14.0,16.6
GNQ,Equatorial Guinea,226.0,16.0,16.0,16.0,17.0,,16.25
SDN,Sudan,729.0,16.0,16.0,16.0,16.0,14.0,15.6
VEN,Venezuela (Bolivarian Republic of),862.0,15.0,16.0,18.0,18.0,17.0,16.8
YEM,Yemen,887.0,15.0,15.0,14.0,16.0,14.0,14.8
SYR,Syrian Arab Republic,760.0,14.0,13.0,13.0,14.0,13.0,13.4
SOM,Somalia,706.0,12.0,9.0,10.0,9.0,10.0,10.0
SSD,South Sudan,728.0,12.0,12.0,13.0,12.0,11.0,12.0
