ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020,Infant_Mortality_Rate_2016,Infant_Mortality_Rate_2017,Infant_Mortality_Rate_2018,Infant_Mortality_Rate_2019,Infant_Mortality_Rate_2020,Unemployment_2016,Unemployment_2017,Unemployment_2018,Unemployment_2019,Unemployment_2020,Access_To_Electricity_2016,Access_To_Electricity_2017,Access_To_Electricity_2018,Access_To_Electricity_2019,Access_To_Electricity_2020,Prevalence_of_undernourishment_2016,Prevalence_of_undernourishment_2017,Prevalence_of_undernourishment_2018,Prevalence_of_undernourishment_2019,Prevalence_of_undernourishment_2020
CAN,Canada,124.0,82.0434,82.0192,82.0508,82.3628,82.0471,13.73192024,13.76600456,13.80017348,13.83442722,13.83442722,98.58939,100.0767,102.5556,105.8136,106.3802,-33450.74531,-53421.57573,-19177.07579,-31060.61006,-24832.36439,5.3,5.2,5.1,5.1,5.0,7.0,6.340000153,5.829999924,5.659999847,9.460000038,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
CHE,Switzerland,756.0,83.4452,83.4125,83.5615,83.7802,83.067,13.66668034,13.73318529,13.79969025,13.85966015,13.85966015,99.67825,100.3039,101.7886,101.0811,100.6567,-16384.94123,91200.63675,-111804.8905,-35354.63697,-63939.47576,4.2,4.2,4.1,4.0,4.0,4.920000076,4.800000191,4.710000038,4.389999866,4.820000172,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
CHL,Chile,152.0,80.0794,80.3501,80.1334,80.3263,79.3769,10.42321491,10.59051991,10.76136507,10.9349663,10.9349663,104.5233,107.0929,110.1873,114.3097,123.0354,3836.168964,2604.278544,6450.385411,3247.162005,-3196.84402,7.7,7.4,7.2,7.0,6.8,6.739999771,6.960000038,7.230000019,7.289999962,11.18000031,100.0,99.69999695,100.0,100.0,100.0,3.1,2.9,2.7,2.6,2.6
CIV,Côte d'Ivoire,384.0,58.0599,58.4805,58.8494,59.3185,59.0318,4.921027531,5.013731346,5.106435161,5.199138977,5.199138977,100.23522,103.126809,103.930573,107.557312,110.586129,549.220086,298.983969,475.678486,816.170219,350.473618,88.4,86.0,83.2,80.3,77.9,2.599999905,3.269999981,3.292999983,3.318000078,3.487999916,64.30000305,65.59999847,67.14739227,68.45955658,69.67912292,6.9,6.0,5.2,4.7,4.4
CMR,Cameroon,120.0,60.2333,60.8103,61.1798,61.5839,60.8328,5.983691359,6.039564753,6.095438148,6.151311543,6.151311543,100.59845,101.965277,104.1522,106.976975,110.712969,702.678,792.137,651.895417,899.655389,403.717252,84.2,80.6,77.3,74.7,72.2,3.575000048,3.599999905,3.617000103,3.638000011,3.836999893,59.80877686,61.03086472,62.20000076,63.48987961,64.72136688,5.9,6.6,6.9,6.7,6.7
COD,Democratic Republic of the Congo,180.0,59.0664,59.4114,59.9417,60.2757,59.7392,6.75948,6.889088258,7.018696516,7.018696516,7.018696516,109.950799,116.044473,117.852991,119.661508,121.470025,932.374669,1047.979483,1407.563588,1354.128941,1498.084808,92.8,89.6,86.6,83.8,81.2,4.477000237,4.465000153,4.451000214,4.451000214,5.265999794,17.04183769,17.91650963,18.56829071,19.10000038,19.10000038,36.0,36.4,36.3,37.7,39.8
COG,Congo,178.0,63.5765,63.76,64.0531,62.7467,63.7852,6.124,6.138,6.152,6.166,6.166,97.303491,98.72583,97.762748,102.808461,101.593885,1601.236924,4372.020131,4301.636044,3343.439176,3988.358114,50.8,49.1,47.6,52.5,44.6,20.55900002,20.55900002,20.61400032,20.62199974,22.84300041,45.50832748,46.57394791,47.41667557,48.40747452,49.51710129,26.4,28.3,29.3,29.9,31.6
COL,Colombia,170.0,76.4713,76.6456,76.7479,76.7523,74.7692,8.221500397,8.362985134,8.504469872,8.643030167,8.862859726,112.482,113.0231,115.13,121.8075,127.6561,9331.0,10147.13215,6408.802152,11094.92219,5724.090215,15.0,14.6,14.1,13.6,13.2,8.68999958,8.869999886,9.109999657,9.960000038,15.03999996,98.40000153,98.5,98.5,99.75592041,100.0,6.0,5.9,6.2,7.2,8.2
CPV,Cabo Verde,132.0,75.7423,76.5928,75.7331,76.0042,74.8077,5.973347954,6.076351994,6.181132228,6.287719287,6.287719287,100.424339,99.32918,100.100364,104.367955,101.698239,135.14965,119.679897,120.475466,133.766588,117.943223,18.1,16.8,15.8,14.9,14.2,12.00800037,12.23999977,12.17000008,12.21899986,15.30599976,87.5449295,88.69096375,90.41175079,91.40000153,94.16174316,17.0,16.2,15.4,14.5,17.7
CRI,Costa Rica,188.0,79.4592,79.3769,79.4835,79.4272,79.277,8.564390182,8.643780231,8.72317028,8.763615131,8.804059982,99.55278,103.0246,103.3305,103.8196,107.7201,2127.035025,2652.093384,2283.145638,2631.191771,1623.994024,8.9,8.7,8.4,8.2,7.9,8.600000381,8.140000343,9.630000114,11.48999977,17.40999985,99.5,99.59999847,99.69999695,99.70999908,99.90000153,3.6,3.2,3.2,3.4,3.4
CYP,Cyprus,196.0,81.0563,81.328,81.382,81.397,81.3905,12.08658028,12.18473005,12.28287983,12.36152506,12.44017029,100.78,96.47,98.5,100.27,100.64,2238.61659,744.238096,5591.122985,5946.380562,2307.321422,2.9,2.8,2.8,2.8,2.8,12.94999981,11.05000019,8.369999886,7.070000172,7.590000153,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
CZE,Czechia,203.0,78.9967,78.9557,79.0039,79.2433,78.5746,12.73709011,12.78682041,12.8280654,12.86931038,12.86931038,100.8,106.4,105.8,110.9,110.8,7632.962874,1961.671529,2347.807863,5980.25424,3150.153362,3.2,3.2,3.1,3.0,2.9,3.950000048,2.890000105,2.24000001,2.00999999,2.549999952,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
DEU,Germany,276.0,80.8471,80.9442,81.1717,81.5584,81.1472,14.1321497,14.10476494,14.07738018,14.09096691,14.09096691,102.3,105.0,106.1,108.1,108.5,-48027.81099,-37876.10849,-24170.99172,-85215.25598,701.177376,3.9,3.9,3.8,3.7,3.7,4.119999886,3.75,3.380000114,3.140000105,3.809999943,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
DJI,Djibouti,262.0,62.1908,62.7966,63.0381,63.0854,62.6943,4.07,4.07,4.0,4.1,4.1,108.327675,106.936486,110.019595,117.519103,118.879304,3457.305457080882,204.8675045481483,3746.7932979629636,1648.6662224962963,1284.4077504545457,63.8,61.8,59.7,57.8,55.9,26.19300079,26.05999947,26.18899918,26.35700035,28.38999939,58.67544556,60.20000076,60.5641861,61.21192932,61.76708221,13.6,13.5,13.1,13.1,13.5
DMA,Dominica,212.0,70.1284,67.5253,73.59,73.5588,73.649,8.017922938,8.059343959,8.100764979,8.142186,8.142186,100.277671,100.692414,102.838259,104.650506,104.497231,41.107778,-2.152963,-37.216296,32.509877,25.129679,32.4,33.5,34.4,35.0,35.4,8.12160003062,7.805133339626667,7.512159997086666,7.326819989953333,8.594233343053332,99.98353577,100.0,100.0,100.0,100.0,5.4,5.7,5.7,6.5,6.9
DNK,Denmark,208.0,80.8803,81.1112,80.99,81.4337,81.5449,13.16281986,13.011765,12.86071014,12.91060019,12.96049023,100.9,102.9,102.7,103.6,103.8,-9875.187917,-5769.44338,1567.948914,-7816.839987,-3244.039576,4.1,4.0,3.9,3.7,3.6,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
DOM,Dominican Republic,214.0,72.9867,73.0629,73.2323,73.5767,72.8894,9.044050217,8.936204255,9.106114462,9.306864107,9.306864107,102.703904,108.375097,108.344358,116.067323,125.775809,3457.305457080882,204.8675045481483,3746.7932979629636,1648.6662224962963,1284.4077504545457,35.0,34.9,34.8,34.4,33.8,7.28000021,5.829999924,5.860000134,6.360000134,6.130000114,98.90000153,100.0,98.90000153,99.0,100.0,6.8,6.2,6.1,7.0,6.7
DZA,Algeria,12.0,75.7318,75.7428,76.0656,76.4742,74.4528,7.877038634,7.940606186,8.004686727,8.069284397,8.069284397,105.435418,111.015653,110.86839,110.615938,113.340313,1590.096852,1260.947166,620.816595,1350.821964,1109.896337,24.8,24.3,23.8,23.3,22.7,10.19999981,10.33300018,10.42000008,10.51299953,12.55000019,99.35025024,99.63549042,99.69783783,99.5,99.80413055,2.8,2.7,1.5,1.5,1.5
ECU,Ecuador,218.0,76.7634,76.9725,77.0938,77.2971,72.1535,8.692919731,8.765919685,8.782986323,8.800052961,8.817119598,102.056869,101.812931,101.142593,100.51045,100.451819,3457.305457080882,204.8675045481483,3746.7932979629636,1648.6662224962963,1284.4077504545457,14.8,14.4,13.9,13.4,13.0,4.599999905,3.839999914,3.529999971,3.809999943,6.110000134,98.69999695,99.19999695,98.69999695,99.08999634,98.84999847,9.7,10.7,11.6,13.7,15.4
EGY,Egypt,818.0,70.8435,71.3019,71.3669,71.3575,70.9905,8.806776914,9.04570961,9.305633501,9.573026174,9.573026174,134.431459,168.258855,187.105598,190.438451,195.77547,7900.2,7209.7,7817.8,8605.0,5525.3,22.5,21.7,20.9,20.1,19.5,12.40999985,11.73999977,9.819999695,7.840000153,9.166999817,100.0,100.0,100.0,100.0,100.0,4.6,4.9,4.9,5.0,5.1
ESP,Spain,724.0,83.0411,83.0295,83.1436,83.5321,82.2892,10.01107979,10.07671499,10.1423502,10.37387514,10.60540009,101.6783,103.4037,104.7927,106.5367,107.7488,-12376.14288,-14079.14506,15761.0313,-11156.68617,-12493.66075,3.3,3.3,3.3,3.3,3.2,19.62999916,17.21999931,15.25,14.10000038,15.52999973,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
EST,Estonia,233.0,77.8201,77.976,78.1395,78.6693,78.3431,13.51035023,13.55548,13.65631008,13.60237026,13.54843044,100.8273,107.2426,109.1138,112.3214,112.1076,572.485336,1061.397564,1439.710943,1104.045129,2937.470837,2.8,2.6,2.4,2.3,2.1,6.760000229,5.760000229,5.369999886,4.449999809,6.800000191,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
ETH,Ethiopia,231.0,64.3919,64.8383,65.4117,65.8377,65.3705,2.681135178,2.854597012,3.028058847,3.201520681,3.201520681,107.258998,123.818599,137.970999,169.321469,205.400982,3457.305457080882,204.8675045481483,3746.7932979629636,1648.6662224962963,1284.4077504545457,59.0,55.9,53.2,50.8,48.7,2.288000107,2.299000025,2.318000078,2.325999975,3.236999989,42.90000153,44.29999924,44.94060135,48.063591,51.0939827,14.4,15.7,18.2,21.9,24.9
FIN,Finland,246.0,81.2915,81.4976,81.6266,81.8706,81.8657,12.68652487,12.73937988,12.80649996,12.87362003,12.87362003,99.26,99.19,100.31,102.08,102.27,-15694.42673,3438.00793,-13625.98196,8746.456862,-4029.500239,2.4,2.4,2.4,2.3,2.3,8.819999695,8.640000343,7.360000134,6.690000057,7.760000229,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
FJI,Fiji,242.0,67.2395,67.7904,67.8096,67.8933,67.9244,10.49146872,10.63035965,10.77497021,10.92154799,10.92154799,104.045442,101.181806,106.336351,109.295441,109.963623,406.263426,387.830933,474.61411,357.018375,226.899145,24.9,25.5,26.2,26.9,27.4,4.320000172,4.277999878,4.333000183,4.447999954,4.715000153,96.56174469,96.0,99.37250519,99.71588135,100.0,6.3,6.2,5.5,4.9,5.7
FRA,France,250.0,82.4372,82.4732,82.5909,82.7315,82.2104,11.35085964,11.40970039,11.50988007,11.61005974,11.61005974,100.73,102.18,104.85,107.01,108.21,-41770.67477,-11152.15599,-67450.26997,-4698.43587,-26270.52242,4.2,4.3,4.3,4.3,4.4,10.05000019,9.409999847,9.020000458,8.409999847,8.010000229,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
GAB,Gabon,266.0,65.8025,66.1889,66.3064,66.6028,66.5305,9.094,9.208,9.322,9.436,9.436,100.193024,97.952898,104.745253,107.114183,108.096933,1198.36016,1397.73833,1441.999149,1586.915986,1284.4077504545457,47.4,45.5,44.1,43.0,41.7,20.66900063,20.72100067,20.74900055,20.74200058,21.97200012,88.2038269,86.26999664,89.8815155,90.72629547,91.57156372,15.1,16.1,17.0,16.6,17.2
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,81.0747,81.1684,81.1254,81.725,80.4345,13.07054679,13.16133022,13.24292692,13.32452361,13.4061203,97.9,101.9,102.6,104.3,102.9,296304.4975,-46019.20255,23874.89794,51535.20668,53133.33333,4.4,4.4,4.3,4.3,4.2,4.809999943,4.329999924,4.0,3.74000001,4.472000122,100.0,100.0,100.0,100.0,100.0,1.5,1.5,1.5,1.5,1.5
GEO,Georgia,268.0,73.5692,73.5701,73.3414,73.4696,72.7653,12.81457043,12.87436008,12.84828997,12.82221985,12.82221985,103.633275,111.227323,113.078113,127.035973,135.646876,1245.40446,1708.854069,966.099219,1029.239069,594.004841,10.2,9.9,9.7,9.5,9.3,16.60000038,13.93999958,12.67000008,11.56999969,18.5,100.0,100.0,99.90000153,100.0,100.0,8.3,8.1,7.8,7.8,7.6
GHA,Ghana,288.0,63.8902,64.0131,64.122,64.7401,64.114,7.919448013,8.056260907,8.193073801,8.329886695,8.329886695,109.687808,118.456337,128.767478,136.06047,155.174325,3470.6,3239.1,2908.0,3291.0,1335.0,52.2,50.1,48.1,46.4,44.7,5.52699995,4.21999979,4.276000023,4.315999985,4.651000023,79.30000305,79.0,80.40000153,83.5,85.87355042,7.7,7.1,6.2,5.2,4.1
