,ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,CPI_Food_Avg,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020,Prevalence_of_undernourishment_2016,Prevalence_of_undernourishment_2017,Prevalence_of_undernourishment_2018,Prevalence_of_undernourishment_2019,Prevalence_of_undernourishment_2020
35,DMA,Dominica,212,70.1284,67.5253,73.59,73.5588,73.649,71.6903,8.017922938,8.059343959,8.100764979,8.142186,8.142186,8.0924807752,100.277671,100.692414,102.838259,104.650506,104.497231,102.5912162,41.154815,-2.112222,-37.178148,32.551852,25.210223,0.047037,0.040741,0.038148,0.041975,0.080544,41.107778,-2.152963,-37.216296,32.509877,25.129679,5.4,5.7,5.7,6.5,6.9
36,DNK,Denmark,208,80.8803,81.1112,80.99,81.4337,81.5449,81.1920199999999,13.16281986,13.011765,12.86071014,12.91060019,12.96049023,12.981277084,100.9,102.9,102.7,103.6,103.8,102.78,235.303904,3748.81302,1198.488777,3587.103998,1151.303119,10110.49182,9518.2564,-369.460137,11403.94399,4395.342695,-9875.187917,-5769.44338,1567.948914,-7816.839987,-3244.039576,1.5,1.5,1.5,1.5,1.5
37,DOM,Dominican Republic,214,72.9867,73.0629,73.2323,73.5767,72.8894,73.1496,9.044050217,8.936204255,9.106114462,9.306864107,9.306864107,9.1400194296,102.703904,108.375097,108.344358,116.067323,125.775809,112.253298199999,2406.7,3570.7,2535.3,3021.0,2554.3,,,,,,,,,,,6.8,6.2,6.1,7.0,6.7
38,DZA,Algeria,12,75.7318,75.7428,76.0656,76.4742,74.4528,75.69344,7.877038634,7.940606186,8.004686727,8.069284397,8.069284397,7.9921800682,105.435418,111.015653,110.86839,110.615938,113.340313,110.2551424,1636.299236,1232.341924,1466.084654,1381.811818,1125.414826,46.202384,-28.605242,845.268059,30.989854,15.518489,1590.096852,1260.947166,620.816595,1350.821964,1109.896337,2.8,2.7,1.5,1.5,1.5
39,ECU,Ecuador,218,76.7634,76.9725,77.0938,77.2971,72.1535,76.05606,8.692919731,8.765919685,8.782986323,8.800052961,8.817119598,8.7717996596,102.056869,101.812931,101.142593,100.51045,100.451819,101.1949324,755.954868,624.469412,1388.175763,961.518496,1016.949293,,,,,,,,,,,9.7,10.7,11.6,13.7,15.4
40,EGY,Egypt,818,70.8435,71.3019,71.3669,71.3575,70.9905,71.17206,8.806776914,9.04570961,9.305633501,9.573026174,9.573026174,9.2608344746,134.431459,168.258855,187.105598,190.438451,195.77547,175.2019666,8106.8,7408.7,8141.3,9010.0,5851.8,206.6,199.0,323.5,405.0,326.5,7900.2,7209.7,7817.8,8605.0,5525.3,4.6,4.9,4.9,5.0,5.1
41,ESP,Spain,724,83.0411,83.0295,83.1436,83.5321,82.2892,83.0071,10.01107979,10.07671499,10.1423502,10.37387514,10.60540009,10.241884042,101.6783,103.4037,104.7927,106.5367,107.7488,104.832039999999,31569.39629,41966.31308,53494.91953,8514.725572,8928.407175,43945.53917,56045.45814,37733.88823,19671.41175,21422.06793,-12376.14288,-14079.14506,15761.0313,-11156.68617,-12493.66075,1.5,1.5,1.5,1.5,1.5
42,EST,Estonia,233,77.8201,77.976,78.1395,78.6693,78.3431,78.1896,13.51035023,13.55548,13.65631008,13.60237026,13.54843044,13.574588202,100.8273,107.2426,109.1138,112.3214,112.1076,108.32254,1059.409595,1942.39331,1497.755249,3091.332008,3155.933563,486.924259,880.995746,58.044306,1987.286879,218.462726,572.485336,1061.397564,1439.710943,1104.045129,2937.470837,1.5,1.5,1.5,1.5,1.5
43,ETH,Ethiopia,231,64.3919,64.8383,65.4117,65.8377,65.3705,65.17002,2.681135178,2.854597012,3.028058847,3.201520681,3.201520681,2.99336647979999,107.258998,123.818599,137.970999,169.321469,205.400982,148.7542094,4142.937496,4017.1,3310.3,2548.8,2395.375577,,,,,,,,,,,14.4,15.7,18.2,21.9,24.9
44,FIN,Finland,246,81.2915,81.4976,81.6266,81.8706,81.8657,81.6304,12.68652487,12.73937988,12.80649996,12.87362003,12.87362003,12.7959289539999,99.26,99.19,100.31,102.08,102.27,100.621999999999,8582.210932,2864.234475,-2171.245625,13611.69448,2574.691331,24276.63767,-573.773455,11454.73634,4865.23762,6604.19157,-15694.42673,3438.00793,-13625.98196,8746.456862,-4029.500239,1.5,1.5,1.5,1.5,1.5
