ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg
ISR,Israel,376.0,82.4854,82.7195,82.8232,82.8123,82.3598,82.64004,13.05535211,13.15115217,13.24765522,13.3448664,13.3448664,13.228778460000001
ITA,Italy,380.0,83.0492,82.7282,83.1847,83.552,82.3953,82.98188000000002,10.39278984,10.47961998,10.56645012,10.65328026,10.7401104,10.56645012
JAM,Jamaica,388.0,72.0198,71.9114,71.793,71.767,71.8686,71.87196,8.879589332,8.970338495,9.062015112,9.154628661,9.154628661,9.044240052200001
JOR,Jordan,400.0,75.2153,75.5018,75.7743,76.044,75.1843,75.54393999999999,10.16455984,10.25772977,10.3508997,10.39878988,10.44668007,10.323731852
JPN,Japan,392.0,84.0664,84.1976,84.2971,84.4258,84.6879,84.33496,13.30426394,13.33075812,13.34510708,13.36610034,13.36610034,13.342465964000002
KAZ,Kazakhstan,398.0,70.8984,71.3958,71.4717,71.5675,70.0304,71.07275999999999,11.9441363,12.07710298,12.21006966,12.34756189,12.34756189,12.185286544
KEN,Kenya,404.0,62.1632,62.4808,62.6765,62.9432,62.6755,62.58784000000001,6.388,6.476,6.564,6.652,6.652,6.5464
KGZ,Kyrgyzstan,417.0,70.2761,70.5877,70.728,71.2301,69.6291,70.49019999999999,11.35618418,11.36215797,11.36813177,11.37410556,11.37410556,11.366937007999999
KHM,Cambodia,116.0,70.2244,70.5153,70.5609,70.6923,70.416,70.48178,4.722,4.844,4.966,5.088,5.088,4.9416
KIR,Kiribati,296.0,66.3316,66.5965,66.8545,67.1497,67.2659,66.83964,7.865527643,7.865527643,7.865527643,7.984461822,7.984461822,7.9131013146
KNA,Saint Kitts and Nevis,659.0,71.7405,71.8399,71.4671,71.5717,71.6266,71.64916000000001,8.4,8.4,8.5,8.662745,8.662745,8.525098
KOR,Republic of Korea,410.0,82.9259,83.2855,83.3427,83.6557,83.6089,83.36373999999999,12.21428586,12.31303351,12.41257949,12.51293027,12.51293027,12.39315188
KWT,Kuwait,414.0,79.7011,79.7806,79.7217,79.685,76.9198,79.16164,7.132780075,7.192820072,7.216040134,7.328022618,7.328022618,7.239537103399999
LAO,Lao People's Democratic Republic,418.0,67.1667,67.4344,67.6341,68.1382,68.4968,67.77404,5.116,5.202,5.288,5.374,5.374,5.2707999999999995
LBN,Lebanon,422.0,79.5054,79.6543,79.729,79.2359,77.8038,79.18568,8.554324481,8.609094987,8.663865494,8.718636,8.718636,8.6529113924
LBR,Liberia,430.0,60.4162,60.5535,60.8532,61.1044,60.9476,60.774980000000006,4.668,4.806,4.944,5.082,5.082,4.9164
LBY,Libya,434.0,71.756,72.4818,72.7938,72.4634,72.4722,72.39344,7.31,7.56,7.56,7.599985,7.599985,7.525994
LCA,Saint Lucia,662.0,73.1116,73.1275,73.3569,73.4449,73.416,73.29138,8.450304985,8.481883367,8.513461749,8.545040131,8.545040131,8.5071460726
LIE,Liechtenstein,438.0,82.3932,83.8916,83.1462,84.3094,82.797,83.30747999999998,12.31878677,12.39203784,12.46528892,12.53854,12.53854,12.450638706
LKA,Sri Lanka,144.0,75.3314,75.4035,75.748,76.0084,76.3929,75.77683999999999,10.50934029,10.57874966,10.64155006,10.63134003,10.82730007,10.637656022
LSO,Lesotho,426.0,52.2641,53.0636,53.733,54.1726,54.6933,53.58532,5.744151237,5.83282906,5.921506884,6.010184707,6.010184707,5.903771319
LTU,Lithuania,440.0,74.8816,75.4399,75.6767,76.2119,75.0676,75.45554,13.10509968,13.18838978,13.29162661,13.39486345,13.49810028,13.295615960000001
LUX,Luxembourg,442.0,82.0535,81.734,81.8035,82.1434,81.4335,81.83358,12.84430344,12.65323261,12.82510172,13.01519217,13.01519217,12.870604422
LVA,Latvia,428.0,74.7535,74.8054,75.0012,75.5337,75.4526,75.10928,12.93480968,13.05903006,13.18325043,13.25271988,13.25271988,13.136505986
MAR,Morocco,504.0,73.284,73.6603,73.9863,74.2705,73.9199,73.82419999999999,5.514,5.648,5.782,5.916,5.916,5.7552
MCO,Monaco,492.0,85.7228,85.6525,86.4643,86.5424,86.538,86.184,,,,,,
MDA,Republic of Moldova,498.0,69.9169,70.5155,70.4916,70.9351,70.1665,70.40512,11.79195658,11.8187631,11.84556961,11.82159042,11.82159042,11.819894026
MDG,Madagascar,450.0,64.9969,65.0938,65.2697,65.8821,65.182,65.28490000000001,4.981364182,5.027301993,5.073239803,5.120468534,5.120468534,5.0645686092
MDV,Maldives,462.0,79.872,79.9429,80.0132,80.116,79.8747,79.96376000000001,6.818,6.986,7.154,7.322,7.322,7.120399999999999
MEX,Mexico,484.0,74.4122,74.1378,74.0146,74.2021,70.1328,73.37989999999999,8.599900246,8.742489815,8.933190346,9.077120304,9.221050262,8.9147501946
MHL,Marshall Islands,584.0,64.0569,64.2696,64.5001,64.7458,64.977,64.50988,10.88313961,10.88313961,10.88313961,10.88313961,10.88313961,10.88313961
MKD,North Macedonia,807.0,76.0296,76.4766,77.3142,77.2928,75.1677,76.45617999999999,9.538281441,9.710748672,9.883215904,10.05568314,10.22815037,9.8832159054
MLI,Mali,466.0,58.7313,59.1322,59.3934,59.6637,58.6331,59.11074,1.98,2.09,2.2,2.31,2.31,2.178
MLT,Malta,470.0,83.1107,83.5867,83.3448,83.2065,83.3545,83.32064,11.28810978,11.56434488,11.84057999,12.02542019,12.21026039,11.785743046
MMR,Myanmar,104.0,65.685,65.843,66.4646,66.6104,66.797,66.28000000000002,5.95272715,6.094084787,6.235442423,6.37680006,6.37680006,6.207170896000001
