Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Kosovo,XKX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.06,2.02,2,1.97,1.95
Kuwait,KWT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.082,2.083,2.082,2.077,2.068
Kyrgyz Republic,KGZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.1,3,3.3,3.3,3
Lao PDR,LAO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.751,2.709,2.667,2.626,2.583
Latvia,LVA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.74,1.69,1.6,1.61,1.55
Lebanon,LBN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.104,2.097,2.087,2.075,2.06
Lesotho,LSO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.197,3.171,3.141,3.108,3.07
Liberia,LBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.461,4.387,4.315,4.247,4.183
Libya,LBY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.317,2.277,2.24,2.206,2.175
Liechtenstein,LIE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.61,1.44,1.58,1.48,1.46
Lithuania,LTU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.69,1.63,1.63,1.61,1.48
Luxembourg,LUX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.41,1.39,1.38,1.34,1.37
"Macao SAR, China",MAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.207,1.211,1.217,1.228,1.244
Madagascar,MDG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.184,4.13,4.077,4.026,3.976
Malawi,MWI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.407,4.302,4.209,4.127,4.055
Malaysia,MYS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.037,2.019,2.001,1.983,1.965
Maldives,MDV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.947,1.906,1.87,1.84,1.815
Mali,MLI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.057,5.968,5.877,5.785,5.693
Malta,MLT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.37,1.26,1.23,1.14,1.13
Marshall Islands,MHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Mauritania,MRT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.679,4.619,4.561,4.503,4.449
Mauritius,MUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4,1.44,1.41,1.4,1.44
Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.186,2.157,2.129,2.103,2.079
"Micronesia, Fed. Sts.",FSM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.145,3.098,3.053,3.01,2.968
Moldova,MDA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.259,1.259,1.262,1.269,1.278
Monaco,MCO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Mongolia,MNG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.923,2.914,2.895,2.867,2.834
Montenegro,MNE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.79,1.78,1.76,1.77,1.75
Morocco,MAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.489,2.451,2.415,2.382,2.353
Mozambique,MOZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.992,4.922,4.852,4.783,4.713
Myanmar,MMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.182,2.168,2.154,2.138,2.121
