Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Comoros,COM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,5.54648763813543,2.98082051223683,3.88710601982862,2.89097960853206,10.4431704445956
"Congo, Dem. Rep.",COD,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,4.02297679479618,3.39294349302154,2.3297474405746,7.19585943514332,2.30941222641573
"Congo, Rep.",COG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,8.13438090093637,..,..,..,..
Costa Rica,CRI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,14.8848622762542,14.9481080824652,15.5066994441108,13.7865775989489,14.8407859360561
Cote d'Ivoire,CIV,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,12.9730963153988,17.0951138013737,12.317098480499,21.1857703880654,..
Croatia,HRV,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Cuba,CUB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Curacao,CUW,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Cyprus,CYP,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Czechia,CZE,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Denmark,DNK,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Djibouti,DJI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,2.14604295065645,1.71624234389153,1.58361883188008,1.5231958284713,1.65982495119188
Dominica,DMA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,9.60741402965362,12.5042544194992,17.4142778082426,12.4926022527784,23.7143708040176
Dominican Republic,DOM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,18.6013519565159,15.5808046954367,14.7465589947269,18.1560263313987,44.9753125787266
Ecuador,ECU,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,26.5803747459453,29.1435744656601,35.6630127155527,35.6826042330608,41.6182291009457
"Egypt, Arab Rep.",EGY,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,19.5030354372015,15.353254148771,15.0534603325028,16.1229426697292,29.4701759706453
El Salvador,SLV,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,20.064853896716,51.6213408134885,45.4526441707805,68.4496318655662,80.0993397108161
Equatorial Guinea,GNQ,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Eritrea,ERI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Estonia,EST,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Eswatini,SWZ,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,2.24880380421164,2.31506585238025,2.26704822315446,2.58399387990333,3.2948836013876
Ethiopia,ETH,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,20.9349904391639,22.2355330062846,21.4917884174323,28.288391615168,25.8483587769354
Faroe Islands,FRO,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Fiji,FJI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,4.47347389325661,6.65242547879754,3.93425168874591,7.80736532619058,21.2530685664351
Finland,FIN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
French Polynesia,PYF,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Gabon,GAB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
"Gambia, The",GMB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,22.3588729866135,15.8314199362844,12.6604892291158,12.7843051106066,17.8253303577869
Georgia,GEO,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,36.7531321691726,29.7159343142183,23.9219838838232,22.5497112102702,35.3441237553552
Ghana,GHA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,9.52484685484937,10.0542715226681,11.7052338857618,9.80023224965051,12.0412357616152
Gibraltar,GIB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Greece,GRC,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Greenland,GRL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Grenada,GRD,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,9.71407315746721,10.0859910152594,8.71022083839769,8.47052721759949,11.0417991768988
Guam,GUM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Guatemala,GTM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,23.5128173587407,29.747210171787,8.24912268438796,12.9426123461397,22.0437145995074
Guinea,GIN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,2.31068365481525,1.74047665341056,2.77456005535745,2.76426692606438,1.51609907549036
Guinea-Bissau,GNB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,2.7831888206078,2.5757378878066,2.60795066142633,3.55874471438302,..
Guyana,GUY,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,4.75554171445515,5.71716614249694,8.62666639195664,7.41420288945271,4.64357517657317
Haiti,HTI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,5.3675009528841,1.24838374179666,1.00835549688677,1.19746299102186,..
