Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","101.912872","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","104.588667","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.42785","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","110.056595","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","110.638289","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","109.125884","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","106.217411","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","105.519378","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","105.170361","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","106.217411","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","106.682767","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","106.566428","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","105.635717","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","107.497139","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","110.870967","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","113.081406","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","114.012117","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","112.499711","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","109.242222","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","108.893206","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","108.311511","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","109.125884","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","109.4749","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","108.42785","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","107.846156","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","110.638289","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","115.640862","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","117.269606","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","116.455234","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","115.524523","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","112.61605","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","111.801678","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","111.336323","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","111.801678","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","112.150695","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","111.685339","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","111.219984","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.430423","A","Official figure","base year is 2015"
